127.0.0.1 - - [12/Jun/2019:09:56:52 +0900] "GET / HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [12/Jun/2019:09:56:52 +0900] "GET /html_list/navigationMenu2.html HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [12/Jun/2019:09:56:53 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [12/Jun/2019:10:01:08 +0900] "GET /html_list/navigationMenu2.html HTTP/1.1" 200 1279
0:0:0:0:0:0:0:1 - - [12/Jun/2019:10:05:16 +0900] "GET /html_list/navigationMenu2.html HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [12/Jun/2019:10:21:29 +0900] "GET /html_list/navigationMenu2.html HTTP/1.1" 200 1066
0:0:0:0:0:0:0:1 - - [12/Jun/2019:10:33:09 +0900] "GET /html_list/navigationMenu3.html HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [12/Jun/2019:10:33:42 +0900] "GET /html_list/navigationMenu.html HTTP/1.1" 200 3860
0:0:0:0:0:0:0:1 - - [12/Jun/2019:10:39:49 +0900] "GET /html_list/navigationMenu.html HTTP/1.1" 200 4177
0:0:0:0:0:0:0:1 - - [12/Jun/2019:10:43:26 +0900] "GET /html_list/navigationMenu.html HTTP/1.1" 200 4379
0:0:0:0:0:0:0:1 - - [12/Jun/2019:10:43:27 +0900] "GET /images/food.jpg HTTP/1.1" 404 1134
0:0:0:0:0:0:0:1 - - [12/Jun/2019:10:44:05 +0900] "GET /html_list/navigationMenu.html HTTP/1.1" 200 4379
0:0:0:0:0:0:0:1 - - [12/Jun/2019:10:44:05 +0900] "GET /images/food.jpg HTTP/1.1" 404 1134
0:0:0:0:0:0:0:1 - - [12/Jun/2019:10:45:24 +0900] "GET /html_list/navigationMenu.html HTTP/1.1" 200 4379
0:0:0:0:0:0:0:1 - - [12/Jun/2019:10:45:25 +0900] "GET /images/food.jpg HTTP/1.1" 404 1134
0:0:0:0:0:0:0:1 - - [12/Jun/2019:10:46:02 +0900] "GET /html_list/navigationMenu.html HTTP/1.1" 200 4381
0:0:0:0:0:0:0:1 - - [12/Jun/2019:10:46:02 +0900] "GET /images/Burger.jpg HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [12/Jun/2019:10:46:22 +0900] "GET /html_list/navigationMenu.html HTTP/1.1" 200 4380
0:0:0:0:0:0:0:1 - - [12/Jun/2019:10:46:22 +0900] "GET /images/Buger.jpg HTTP/1.1" 404 1135
0:0:0:0:0:0:0:1 - - [12/Jun/2019:10:46:24 +0900] "GET /html_list/navigationMenu.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2019:10:46:24 +0900] "GET /images/Buger.jpg HTTP/1.1" 404 1135
